CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0107,0.989386523052262
C0001,C0137,0.9878568932914604
C0001,C0191,0.9719428736625854
C0002,C0142,0.9908212161927282
C0002,C0043,0.9735486723026082
C0002,C0186,0.9444310131813842
C0003,C0133,0.9103201693154741
C0003,C0190,0.9074944860393139
C0003,C0174,0.8694258216737585
C0004,C0113,0.9887735395871667
C0004,C0104,0.9643394618678176
C0004,C0102,0.9639365891122683
C0005,C0123,0.9997057571026509
C0005,C0097,0.9983689258819758
C0005,C0078,0.9976381663817145
C0006,C0168,0.9530950775029938
C0006,C0048,0.8971030758711006
C0006,C0187,0.8966391497366636
C0007,C0140,0.9985337287784547
C0007,C0078,0.9940990866651137
C0007,C0080,0.9932770398667722
C0008,C0090,0.9276545244751667
C0008,C0084,0.9110741740841232
C0008,C0098,0.9044221604984135
C0009,C0198,0.9862633862100093
C0009,C0060,0.9699340370726287
C0009,C0014,0.9687582263080224
C0010,C0166,0.963917371513679
C0010,C0199,0.9402850365578024
C0010,C0121,0.9307900894716916
C0011,C0107,0.9853964352603236
C0011,C0048,0.9853211323913735
C0011,C0001,0.9663990995170008
C0012,C0153,0.984236292082494
C0012,C0102,0.9804069036835471
C0012,C0087,0.9746930720127022
C0013,C0155,0.9912521982793112
C0013,C0099,0.9892046329718407
C0013,C0104,0.9882881915347679
C0014,C0060,0.9994514961260172
C0014,C0198,0.9949102332828048
C0014,C0063,0.992531290636147
C0015,C0058,0.9954920083198503
C0015,C0020,0.9943445197984118
C0015,C0033,0.9937522526293993
C0016,C0183,0.9572922286540457
C0016,C0154,0.9018398775213399
C0016,C0117,0.8670127520654072
C0017,C0124,0.9872143429766583
C0017,C0075,0.9761074550257519
C0017,C0041,0.9329072806379738
C0018,C0046,0.8773567716985886
C0018,C0122,0.8409161439369918
C0018,C0068,0.8246719383234085
C0019,C0172,0.9933902891413064
C0019,C0127,0.90805248084338
C0019,C0069,0.887875606863566
C0020,C0058,0.9956792484534137
C0020,C0015,0.9943445197984118
C0020,C0033,0.993977611234349
